Gender Identity,Age,Date of Birth,Marital Status,Sexual Orientation,Nationality,Country of Residence,State/Province,City,Rural or Urban,Type of Residence,Length of Residence,Level of Education,Field of Study,Occupation,Income Level,Social Class,Employment Status,Home Ownership,Ethnicity,Language(s) Spoken,Religion,Cultural Practices,Immigration Status,Hobbies and Interests,Shopping Preferences,Dietary Preferences,Physical Activity Levels,Social Media Usage,Travel Habits,Alcohol and Tobacco Use,Technology Usage,Family Structure,Household Size,Pet Ownership,Relationship Status,Caregiving Responsibilities,General Health Status,Disabilities or Chronic Illnesses,Mental Health Status,Health Insurance Status,Access to Healthcare,Political Affiliation,Voting Behavior,Political Engagement
Male,45,1977-01-12,Married,Heterosexual,American,United States,California,Los Angeles,Urban,House,15 Years,Master's Degree,Marketing,Business Owner,High,Upper Middle Class,Full-time,Own,Caucasian,English,Christian,Traditional American customs,Native Born,"Reading, Traveling",Online shopping,Standard diet,Moderate,High,International travels,"Occasional alcohol, No tobacco",High,Married with 2 kids,4,Dog,Married,Childcare,Good,No,Good,Insured,Good,Independent,Regular voter,Moderate
Male,45,1976-04-14,Married,Straight,American,United States,California,San Francisco,Urban,Townhouse,10 years,Master's Degree,Business,Management,High,Upper Class,Full-time,Owner,White,"English, Spanish",Christianity,Western,Citizen,"Reading, Jogging, Travel",Online,Non-Vegetarian,High,High,Frequent,"Moderate alcohol, No tobacco",High,Married with two kids,4,One dog,Married,For two children,Excellent,None,Good,Insured,Excellent,Democrat,Regular,Moderate
Male,45,1976-01-01,Married,Heterosexual,American,United States,California,Los Angeles,Urban,House,10 years,Master's Degree,Marketing,Business Owner,High,Upper Class,Full-time,Owner,Caucasian,English,Christian,Western,Citizen,"Travel, Cooking, Reading",Online,Non Vegetarian,Active,High,Quarterly,"Moderate Alcohol, No Tobacco",High,Married with two children,4,Dog,Married,None,Good,None,Good,Fully Insured,Private,Democrat,Regular,Moderate
Male,45,02/06/1976,Married,Straight,American,USA,California,San Francisco,Urban,Private House,15 years,Bachelor's Degree,Business,Management,High,Upper,Full-time,Owned,White,English,Christian,Western,Citizen,"Reading, Traveling, Investing","Online, High-End",Non-Vegetarian,Moderate,High,"Frequently, Business and Leisure","Social Alcohol, Non-Smoker",High,Spouse and 2 Children,4,Dog,Married,Children,Good,None,Good,Insured,Good,Democratic,Regular,Moderate
Male,45,1976-01-01,Married,Heterosexual,American,USA,California,San Francisco,Urban,Detached House,15 years,Master's Degree,Marketing,Management,High,Upper Middle Class,Full-time,Owner,Caucasian,English,Atheist,Western,N/A,"Reading, Golf",Online Shopping,Non-Vegetarian,Moderate,High,Frequently for Business,"Occasional Alcohol, Non-smoker",High,"Spouse, 2 Children",4,One Dog,Committed,Parents,Good,None,Good,Insured,Good,Democrat,Regular Voter,Moderate
Male,45,1976,Married,Heterosexual,American,USA,California,San Francisco,Urban,Apartment,10 years,Master's Degree,Business,Business Owner,High,Upper Middle Class,Full-time,Own,White,English,Christianity,Western,Citizen,"Reading, Traveling, Cycling",Online shopping,Non-Vegetarian,Active,High,Frequent,"Occasional drinker, non-smoker",High,Two children,4,One dog,Married,Children,Good,None,Good,Covered,Easy,Democrat,Regular voter,Active
Male,40,01-01-1980,Married,Heterosexual,American,United States,California,Los Angeles,Urban,Detached house,10 years,Master's Degree,Business,Management,High,Upper middle class,Full-time,Owner,White,English,Christian,Typical American practices,Citizen,"Reading, golfing","Online, high end brands",Non vegetarian,Active,High,Frequently for business,"Social drinker, non-smoker",High,Married with two children,4,Dog,Married,Children,Good,None,Good,Insured,Full access,Democratic Party,Regular voter,Moderate
Male,45,1976-05-13,Married,Heterosexual,American,United States,New York,New York City,Urban,House,15 years,Master's Degree,Business,Management,High,Upper-middle,Full-time,Owner,White,English,Christian,Western culture,Non-immigrant,"Reading business journals, golfing",Online shopping,Non-vegetarian,High,Moderate to High,Travels for business and leisure,"Social drinker, non-smoker",High,Married with 2 kids,4,Have a dog,Married,Caretaking for children,Good,None,Good,Insured,Good,Democrat,Active voter,Moderate
Male,42,1979-05-24,Married,Heterosexual,American,United States,California,San Francisco,Urban,Detached House,10 years,Master's Degree,Business,Management,High,Upper Class,Full-time,Owned,White,English,Christianity,Traditional American culture,Citizen,"Reading, Philately",Online shopping,Non-vegetarian,Active,High,Frequent international travel,"Moderate drinking, Non-smoker",High,Nuclear,3,Dog,Married,Children,Healthy,None,Stable,Insured,Direct,Democratic,Regular Voter,Active
Male,50,1971-01-01,Married,Heterosexual,American,United States,California,Los Angeles,Urban,Detached house,15 years,Master's Degree,Business,Management,High,Upper middle class,Full-time,Owned,Caucasian,"English, Spanish",Christian,American,Native born,"Reading, Travelling, Golf","Online, High-end brands",Non-vegetarian,Moderate,High,Frequent for business,"Alcohol - Moderate, Tobacco - None",High,"Spouse, Two children",4,Dog,Married,Children,Good,None,Good,Insured,Easy access,Democratic,Regular,Moderate
Male,45,1976-05-15,Married,Heterosexual,American,United States,California,Los Angeles,Urban,Detached house,15 years,Master's Degree,Business,Management,High,Upper-middle class,Full-time,Own,Caucasian,English,Christianity,Mainstream American,Citizen,"Reading, Golf, Investing","Online, High-end brands",Non-vegetarian,Active,High,Frequent international travel,"Occasional alcohol, non-smoker",High,Two children,4,Dog,Married,Children,Good,None,Good,Insured,Easily accessible,Democrat,Regular voter,Moderate
Female,45,1976-03-12,Married,Heterosexual,American,United States,California,San Francisco,Urban,Detached House,10 years,Master's Degree,Business,Management,High,Upper Middle Class,Full-time,Own,Caucasian,English,Christianity,Western,Non-immigrant,"Reading, Traveling, Cooking",Online Shopping,Balanced diet,Moderate,High,Frequent,"Social Drinker, Non-Smoker",High,Married with two children,4,"Yes, owns a dog",Married,Children,Good,None,Good,Insured,Easy,Democratic Party,Regular Voter,Moderate
Male,45,1976-02-15,Married,Heterosexual,American,United States,California,Los Angeles,Urban,House,10 years,Master's Degree,Business,Management,High,Upper-middle,Full-time,Own,Caucasian,English,Christian,Traditional American,N/A,"Traveling, Reading, Hiking",Online,Balanced,Moderate,High,Frequent,"Social drinker, Non-smoker",High,Married with two children,4,Dog,In a relationship,Children,Good,None,Good,Insured,Regular,Democrat,Regular,Active
Male,45,1976-05-12,Married,Heterosexual,USA,USA,California,Los Angeles,Urban,House,10 years,Master's Degree,Marketing,Business Owner,High,Upper-middle class,Full-time,Own,Caucasian,English,Christian,Western,Native,"Reading, Soccer",Online Shopping,Non-Vegetarian,Moderate,High,Frequent International Travel,"Occasional Alcohol, Non-smoker",High,Married with two children,4,Dog,In a relationship,Children,Good,None,Good,Insured,Good,Democratic Party,Regular,Active
Male,45,01-12-1976,Married,Heterosexual,American,United States,California,San Francisco,Urban,Condominium,15 years,Master's Degree,Business,Management,High,Upper-class,Full-time,Owner,Caucasian,"English, Spanish",Christian,Western Culture,N/A,"Golf, Reading, Investing",Online,Non-vegetarian,Moderate,High,Frequent Business Traveller,"Social Alcohol Use, Non-smoker",High,Married with 2 children,4,Dog,Married,Parents,Good,N/A,Good,Insured,Adequate,Democrat,Regular voter,Moderate
Male,50,1971-03-05,Married,Heterosexual,American,United States,California,Los Angeles,Urban,House,25 years,Master's Degree,Business,Business Owner,High,Upper Class,Full-time,Own,Caucasian,English,Christian,Western,Native-born,"Reading, Golfing",Online,Mixed,Active,High,Frequent,"Alcohol (Moderate), Tobacco (Never)",High,Married with 2 children,4,Dog,Married,Children,Healthy,None,Good,Insured,Excellent,Republican,Regular,Active
Male,45,1976-04-01,Married,Heterosexual,American,United States,California,San Francisco,Urban,Single Family Home,15 years,Master's Degree,Business,Business Owner,High,Upper Class,Full-time,Owner,White American,English,Protestant,Western,Native Born,"Golf, Reading business books",Online,Non-Vegetarian,Moderate Exercise,High,Frequent Business Travel,"Occasional Alcohol, No Tobacco",High,Married with two kids,4,Dog,Married,Two Teenage Children,Good,None,Good,Insured,Good,Republican,Regular Voter,Moderate
Male,45,1976-02-24,Married,Heterosexual,American,United States,California,San Francisco,Urban,Apartment,10 years,Master's Degree,Business Management,Business Owner,High,Upper Class,Full-time,Owner,White,English,Christianity,Western Traditions,Native Born,"Golfing, Reading, Investing","Online, High-End Brands",Balanced Diet,Active,High,Business and Leisure Travel,"Social Alcohol Consuming, Non-smoker",High,Married with 2 Children,4,One Dog,Married,Parenting,Good,None,Good,Insured,Accessible,Republican,Regular Voter,High
Male,55,1965-08-15,Married,Heterosexual,American,United States,California,San Francisco,Urban,Condo,25 years,Master's Degree,Business,Research Head,High,Upper Middle,Full-time,Own,Caucasian,"English, Spanish",Catholic,Western,Citizen,"Golfing, Reading",Online,Balanced,Active,High,Several times a year,"Moderate drinker, Non-smoker",High,Two children,4,One dog,Married,Children,Good,None,Good,Insured,Good,Democrat,Regular voter,Occasionally active
Male,45,1976,Married,Straight,American,United States,California,San Francisco,Urban,Detached House,10 years,Master's Degree,Business,Business Owner,High,Upper Class,Full-time,Owner,Caucasian,English,Christian,Western,Citizen,"Reading, Golfing",Online,No special diet,Moderate,Moderate to High,Frequent,"Moderate Alcohol, Non-smoker",High,Married with two kids,4 people,Dog,Married,Children,Healthy,No,Stable,Insured,Regular,Democratic Party,Voter,Active
Male,45,1976-05-24,Married,Heterosexual,American,USA,California,San Francisco,Urban,House,10 years,Master's Degree,Business,Management,High,Upper-middle,Full-time,Own,Caucasian,English,Christianity,"Sports, BBQ",Citizen,"Golf, Reading",Online Shopping,Non-vegetarian,Active,High,Frequent business trips,"Occasional alcohol, No tobacco",High,Married with 2 kids,4,Dog,Married,Children,Good,None,Good,Insured,Good access,Democratic Party,Regular,Active
Male,45,1976,Married,Heterosexual,American,USA,California,San Francisco,Urban,Condo,15 years,Master's Degree,Business,Business Owner,High,Upper Class,Full-time,Owner,Caucasian,English,Agnostic,Western,N/A,"Golf, Reading",Online,Non-vegetarian,Active,High,Frequent Domestic and International,"Occasional Alcohol, Non-Smoker",High,Married with two kids,4,Dog,Married,Children,Very Good,No,Good,Insured,Full,Democratic,Regular Voter,Active
Male,40,1980-08-20,Married,Heterosexual,American,United States,California,San Francisco,Urban,Apartment,10 years,Master's Degree,Business,Management,High,Upper Middle Class,Full-time,Rented,White,English,Christian,American Traditions,Native Born,"Reading, Investing, Cycling",Online Shopping,Balanced Diet,Active,High,International Travel once a year,"Social Drinker, Non-smoker",High,Married with two kids,4,One dog,Married,Kids,Healthy,None,Healthy,Insured,High,Democratic Party,Regular Voter,High
Male,45,22nd April 1976,Married,Heterosexual,American,USA,California,San Francisco,Urban,Apartment,10 years,Master's Degree,Business,Business Owner,High,Upper Middle Class,Full-time,Owner,Caucasian,English,Non-religious,"Thanksgiving, 4th July celebrations",Native Born,"Sailing, Reading",Online Shoppers,Non-vegetarian,Active,High,Travels once in a year for vacation,"Occasional drinker, Non-smoker",High,2 children,4,Owns a Golden Retriever,Married,None,Healthy,None,Stable,Insured,High,Democratic,Regular Voter,Moderately engaged
Male,45,01/01/1976,Married,Heterosexual,American,United States,California,San Francisco,Urban,House,15 years,Master's Degree,Business,Management,High,Upper Middle,Full-time,Owner,Caucasian,English,Christian,Western,Native Born,"Reading, Golf, Travel",Mainly Online,Non Vegetarian,Active,High,Frequent,"Occasional drinker, non-smoker",High,Married with two kids,4,One dog,Married,Children,Good,None,Good,Insured,Good,Democrat,Regular,Occasionally
Female,45,02/05/1976,Married,Heterosexual,American,United States,California,San Francisco,Urban,Single Family Home,15 years,Master's Degree,Marketing,Management,High,Upper Middle Class,Full-time,Owner,White,English,Catholic,Traditional,Citizen,"Reading, Traveling",Online shopping,Non-vegetarian,Moderate,High,"International, few times a year","Occasional Alcohol, Non-smoker",High,"Spouse, 2 Children",4,Dog,Married,Children,Good,None,Good,Insured,Good,Democratic,Active,Moderate
Male,45,07/15/1977,Married,Heterosexual,American,United States,California,San Francisco,Urban,Detached house,20 years,Master's Degree,Business,Business Owner,High,Upper Middle Class,Full-time,Own,Caucasian,English,Christianity,Western Culture,Citizen,"Reading, Golfing",Online,Non-vegetarian,Active,High,Occasionally for leisure,"Social drinker, Non-smoker",High,Married with two children,4,Dog,Married,Children,Excellent,None,Good,Privately Insured,Excellent,Democrat,Regular Voter,Active
Male,45,1976-01-25,Married,Heterosexual,American,United States,California,San Francisco,Urban,Detached house,15 years,Master's Degree,Business,Management,High,Upper class,Full-time,Owner,Caucasian,English,Christian,Christmas and Easter tradition,Native born,"Golfing, Reading",Online shopping,Balanced,Active,Moderate,Frequent,"Occasional drinker, Non-smoker",High,Married with two children,4 people,One dog,In a relationship,Two young children,Good,None,Sound,Covered,Excellent,Democrat,Regular voter,Active
Male,45,21-06-1976,Married,Heterosexual,American,USA,New York,New York,Urban,Apartment,15 years,Master's Degree,Business,Management,High,Upper middle class,Full-time,Rented,Caucasian,English,Christianity,"Christmas, Thanksgiving",Citizen,"Golf, Reading, Travel",Online shopping,Non-vegetarian,Moderate,High,Domestic and International,"Occasional Alcohol, No Tobacco",High,Spouse with 2 children,4,One dog,Married,Children,Healthy,None,Good,Insured,Good,Democratic Party,Votes Regularly,Moderate
Male,45,03-15-1976,Married,Heterosexual,American,USA,California,San Francisco,Urban,Detached House,15 years,Master's Degree,Business,Business Owner,High,Upper middle class,Full-time,Owner,Caucasian,English,Christianity,Traditional American,Native born,Golf and Reading,Online,Balanced diet,Active,High,Frequent,"Occasional alcohol, No tobacco",High,Married with two kids,4,Dog,Married,Children,Good,No,Stable,Insured,Excellent,Democratic Party,Regular voter,Somewhat engaged
Male,45,1975-07-12,Married,Straight,American,USA,California,San Francisco,Urban,Detached house,15 years,Bachelor's Degree,Business,Management,High,Upper-middle,Full-time,Owner,White,English,Christian,"Christmas, Thanksgiving",Citizen,"Golf, Reading",Online shopping,Non-vegetarian,Moderate,High,Twice a year,"Moderate alcohol, No tobacco",High,Married with two children,4,One dog,Married,Children,Healthy,None,Stable,Insured,Easy,Democrat,Regular voter,Moderately engaged
Male,45,1975-12-31,Married,Heterosexual,American,United States of America,New York,New York City,Urban,Condo,15 years,Master's Degree,Business,Management,High,Upper Middle,Full-time,Owner,Caucasian,English,Christian,Traditional Christmas & Thanksgiving Celebrations,Non-immigrant,"Golf, Reading, Wine tasting",Online,Non-vegetarian,Moderate,High,Regular international travel,"Regular alcohol, Non-smoker",High,2 Children,4,One dog,Married,Children,Good,None,Good,Insured,Good,Democrat,Regular,Active in Local Politics
Male,45,07/10/1976,Married,Heterosexual,American,United States,California,San Francisco,Urban,Detached house,15 years,Master's Degree,Marketing,Management,High,Upper middle class,Full-time,Owner,Caucasian,English,Christianity,Observes major Christian holidays,Non-immigrant,"Reading, gardening, traveling",Online,No specific diet,Moderate,High,Occasionally,"Social drinker, non-smoker",High,Married with two kids,4,Dog,Married,Caring for children,Good,None,Good,Insured,Easy access,Democrat,Regularly,Moderate
Male,45,1976-05-12,Married,Heterosexual,American,United States,California,Los Angeles,Urban,Condominium,10 years,Master's Degree,Business,Management,High,Upper Middle Class,Full-time,Own,Caucasian,"English, Spanish",Christianity,Western,Native Born,"Golf, Reading Business Journals",Online,Non-vegetarian,Moderate,High,Frequently for Business,"Occasional Alcohol, Non-smoker",High,Married with two kids,4,Dog,Married,Children,Good,None,Stable,Covered,Good,Democrat,Regular,Moderate
Female,40,1981,Married,Straight,American,USA,California,Los Angeles,Urban,House,10 years,Master's Degree,Business,Research Head,High,Upper-Middle Class,Full-time,Owned,White,English,Christian,"Christmas, Easter",Citizen,"Reading, Yoga",Online Shopping,Vegetarian,Active,High,Domestic Travels,"Alcohol Occasionally, No Tobacco",High,Married with Two Children,4,One dog,Married,Children,Good,No,Good,Insured,Good,Democrat,Active,Occasional
Female,37,1984-06-15,Married,Heterosexual,American,United States,California,Los Angeles,Urban,House,10 years,Master's Degree,Business,Business Owner,High,Upper Middle Class,Full-time,Owner,Caucasian,English,Christian,American traditional,Citizen,"Travel, Reading, Fitness",Online Shopping,Healthy Diet,Active,High,Frequently,"Occasional Alcohol, No Tobacco",High,Married with children,4,Dog,Married,Children,Good,None,Good,Insured,Good,Democrats,Regular,Active
Female,45,"March 10, 1976",Married,Heterosexual,American,USA,California,San Francisco,Urban,Apartment,10 years,Master's Degree,Business,Management,High,Upper class,Full-time,Owner,White,English,Catholic,Traditional American,Native Born,"Reading, Hiking, Cooking",Online Shopping,Vegetarian,High,High,Frequent traveller,"Social drinker, Non-smoker",High,Married with two kids,4,Dog,Married,Children,Healthy,None,No mental health issues,Insured,Easy,Democratic,Regular Voter,Active
Male,45,03/26/1976,Married,Heterosexual,American,United States,California,Los Angeles,Urban,Detached House,15 years,Master's Degree,Business,Management,High,Upper Middle Class,Full-time,Home Owner,White,English,Christianity,Western,Citizen,"Reading, Hiking, Traveling",Online Shopping,Balanced Diet,Moderate,Moderate to High,Yearly Vacationer,"Social Drinker, Non-smoker",High,Married with two children,4,Dog,Married,Children,Good,None,Good,Insured,Good,Democratic Party,Regular Voter,Moderate
Male,45,01/20/1976,Married,Heterosexual,American,USA,California,Los Angeles,Urban,Detached House,20 years,Master's Degree,Business,Management,High,Upper Middle Class,Full-time,Owner,Caucasian,"['English', 'Spanish']",Christianity,Western culture,Native Born,"['Golfing', 'Traveling']",Online Shopping,Non-Vegetarian,Moderate,High,Vacation once a year,"Occasional Alcohol, No Tobacco",High,Married with two kids,4,Dog,Married,Children,Healthy,None,Healthy,Insured,Regular,Democrat,Regular Voter,Active
Male,45,01-01-1976,Married,Heterosexual,American,USA,California,San Francisco,Urban,Single-family home,15 years,Master's Degree,Business,Management,High,Upper-middle class,Full-time,Own,Caucasian,English,Christian,Western cultural practices,Native-born,"Golf, Reading, Travel","Online shopping, high-end brands",Non-vegetarian,Regular exercise 2-3 times a week,High,Frequent business and leisure travel,"Moderate alcohol, Non-smoker",High,Married with two children,4,One dog,Married,Children,Good,None,Good,Covered by employer,Easy access,Independent,Regular voter,Moderately engaged
